FeatureType,AssetID,source_layer,public_length_m,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,MI_Score_Public_Normalized,ConditionScore,AssetLength,DistressExtentRatio,WeightedDistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,Risk_Product_Public_MI_x_Condition
RPath,996,sidewalks,373.029,HMAC,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,53,3,3,5,375.8,0.519,0.501,,,,0.024,0.491,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,15.0
RPath,997,sidewalks,283.717,HMAC,1,2,2,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,56,3,3,5,300.0,0.855,0.855,,,,,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
RPath,998,sidewalks,299.999,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,38,2,2,5,300.0,0.670,0.665,,,,,0.660,,,,,,,,,,,,0.010,,,,,,,,,,,,,,,,,10.0
RPath,999,sidewalks,382.68,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,53,3,3,5,384.0,0.969,0.966,,,,,0.965,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,15.0
RPath,1001,sidewalks,95.79,HMAC,1,2,2,1,0,0,1,2,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,67,4,4,3,97.7,0.322,0.246,,,,0.031,0.200,,,,,,,,0.061,,0.015,0.015,,,,,,,,,,,,,,,,,,12.0
RPath,1002,sidewalks,100.34,HMAC,1,2,2,1,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,61,3,3,2,100.3,0.060,0.015,,,,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
RPath,1003,sidewalks,103.127,HMAC,1,2,2,1,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,63,3,3,3,103.1,0.335,0.240,,,0.087,0.116,0.087,,,,,,,,,,,0.029,0.015,,,,,,,,,,,,,,,,,9.0
RPath,1004,sidewalks,96.935,HMAC,1,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,55,3,3,3,96.9,0.124,0.116,,,,,0.093,,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,,9.0
RPath,1005,sidewalks,368.824,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,71,4,4,3,369.0,0.244,0.151,,,,0.106,0.093,,,,,0.016,,0.008,0.012,,0.008,,,,,,,,,,,,,,,,,,,12.0
RPath,1006,sidewalks,247.689,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,2,1,2,2,1,2,2,0,0,0,1,2,0,5,1,2,2,0,1,0,1,2,2,5,0,0,3,1,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,2,2,1,2,0,0,0,0,5,3,1,1,1,1,2,2,1,0,0,0,0,0,5,0,99,5,5,2,247.8,0.327,0.082,,,,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
RPath,1007,sidewalks,197.906,HMAC,1,2,2,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,1,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0,0,1,2,0,0,0,0,0,3,1,0,1,1,2,0,1,0,0,1,0,0,5,0,62,3,3,2,197.9,0.326,0.083,,,,0.318,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,6.0
RPath,1008,sidewalks,113.972,HMAC,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,1,0,0,5,0,55,3,3,2,114.0,0.237,0.059,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
RPath,1009,sidewalks,124.163,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,0,2,1,2,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,5,3,1,0,1,1,0,0,1,2,0,1,0,0,5,0,66,4,3,2,123.8,0.254,0.067,,,,0.218,,,,,,,0.024,,,,,,0.012,,,,,,,,,,,,,,,,,6.0
RPath,1010,sidewalks,109.397,HMAC,1,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,2,1,2,2,1,2,0,0,0,0,1,2,0,5,1,2,0,0,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,3,1,0,1,1,2,0,1,0,0,0,0,0,5,0,72,4,4,3,109.4,0.411,0.103,,,,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
RPath,1011,sidewalks,154.376,HMAC,1,2,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,5,1,0,0,0,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,0,3,1,0,1,1,2,0,1,0,0,1,0,0,5,0,69,4,4,2,154.4,0.233,0.058,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
RPath,1012,sidewalks,298.793,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,53,3,3,5,300.0,0.995,0.766,,,,0.305,0.685,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,15.0
RPath,1013,sidewalks,158.316,CON,1,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,0,25,1,1,1,157.9,0.019,0.005,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
