dataset,datasetTitle,year,location,municipality,crashCount,sourceLocationName,longitude,latitude,geocodeMatchType
pedestrian_crashes,Crashes involving pedestrians,2020,10TH AVE & CENTRAL ST E & CENTRAL ST W & HWY 97 S & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & 10th Ave ,-122.78177628409276,53.915447860379075,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,17TH AVE & UPLAND ST,PRINCE GEORGE,1,17th Ave  & Upland St ,-122.76063153281947,53.90845408832176,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,1ST AVE & N OSPIKA BLVD & OSPIKA BLVD,PRINCE GEORGE,1,Ospika Blvd  & 1st Ave ,-122.79410008018007,53.92484505980793,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,2ND AVE & RUGGLES ST,PRINCE GEORGE,1,2nd Ave  & Ruggles St,-122.79325382316797,53.92366904081929,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,3RD AVE & CARNEY ST,PRINCE GEORGE,1,Carney St  & 3rd Ave ,-122.76932051435493,53.92264142525402,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,4TH AVE & VICTORIA ST,PRINCE GEORGE,1,Victoria St  & 4th Ave ,-122.74972703343879,53.91710796548883,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,AUSTIN RD E & AUSTIN RD W & HART HWY & HART HWY FRTG & TURNING LANE,PRINCE GEORGE,1,Hart Hwy  & Austin Rd W,-122.78698619107912,53.98951914251626,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,DAVIS RD & OSPIKA BLVD,PRINCE GEORGE,1,Ospika Blvd  & Davis Rd ,-122.78461387765036,53.8765979093368,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,HWY 97 S & MASSEY DR & PINE CENTRE RD & PINE CENTRE RD OFFRAMP & MALL ACCESS & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & Pine Centre Rd ,-122.77435190570137,53.89909187852446,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,LORNE CRES & WESTWOOD DR & MALL ACCESS,PRINCE GEORGE,1,Westwood Dr  & Lorne Cres ,-122.78077899070674,53.89738393057166,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,MASSEY DR & WESTWOOD DR & TURNING LANE,PRINCE GEORGE,1,Massey Dr  & Westwood Dr ,-122.78220102448,53.89962927490321,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2020,MONTGOMERY CRES # 004250 TO 004399,PRINCE GEORGE,1,,,,
pedestrian_crashes,Crashes involving pedestrians,2020,SANDERSON RD & WIEBE RD,PRINCE GEORGE,1,Wiebe Rd  & Sanderson Rd ,-122.77356883340921,53.88277646468507,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,10TH AVE & CARNEY ST,PRINCE GEORGE,1,Carney St  & 10th Ave ,-122.76929725602113,53.91542380304837,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,10TH AVE & VANCOUVER ST,PRINCE GEORGE,1,10th Ave  & Vancouver St ,-122.75530225694244,53.91298866011439,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,15TH AVE & IRWIN ST,PRINCE GEORGE,1,15th Ave  & Irwin St ,-122.77823624459764,53.910375069358345,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,17TH AVE & QUEENSWAY,PRINCE GEORGE,1,Queensway   & 17th Ave ,-122.74230240093378,53.908467530371524,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,1ST AVE & FREIMULLER AVE,PRINCE GEORGE,1,1st Ave  & Freimuller Ave ,-122.8128201023635,53.929938259176396,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,1ST AVE & MCLEAN DR,PRINCE GEORGE,1,1st Ave  & McLean Dr ,-122.80196815565053,53.92697623755192,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,20TH AVE & REDWOOD ST & VICTORIA ST,PRINCE GEORGE,1,20th Ave  & Redwood St ,-122.75656169384115,53.90543882115238,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,20TH AVE & UPLAND ST,PRINCE GEORGE,1,20th Ave  & Upland St ,-122.76059629140936,53.905422296840946,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,2ND AVE & GEORGE ST,PRINCE GEORGE,1,2nd Ave  & George St ,-122.7421151472134,53.916865043930706,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,5TH AVE & HARPER ST,PRINCE GEORGE,1,5th Ave  & Harper St ,-122.77671707651508,53.920625853155975,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,CAMERON ST & CAMERON ST BRIDGE,PRINCE GEORGE,1,,,,
pedestrian_crashes,Crashes involving pedestrians,2021,CARLE DR & NORTH NECHAKO RD & TOOMBS DR,PRINCE GEORGE,1,North Nechako Rd  & Toombs Dr ,-122.84944231861391,53.96746363264754,subset_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,FERRY AVE & OSPIKA BLVD,PRINCE GEORGE,1,Ospika Blvd  & Ferry Ave ,-122.78723029011171,53.888222873019025,exact_intersection_name
pedestrian_crashes,Crashes involving pedestrians,2021,FERRY AVE & RECPLACE DR,PRINCE GEORGE,1,Ferry Ave  & Recplace Dr ,-122.7708357032018,53.888759334056346,exact_intersection_name
