Priority_Rank,Priority_Category,FeatureType,AssetID,Impact,Contribution_Discrete,Contribution_Continuous,Benefit_Discrete,Benefit_Continuous,Benefit_Per_Asset_Length,ConditionScore,WeightedDistressExtentRatio,AssetLength,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,MI_Score_Public_Normalized,Risk_Product_Public_MI_x_Condition,source_layer,public_length_m,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,DistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,PedestrianIncidents_50m_2020_2024,ConditionScore_num,WeightedDistressExtentRatio_num,AssetLength_num,Benefit_With_Incidents
499,High,RPath,885,3.0,3.0,0.02,9.0,0.06,0.15734265734265734,2.0,0.02,57.2,50,3,3,6.0,sidewalks,55.595,HMAC,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.079,,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.02,57.2,9.0
500,High,RPath,896,3.0,3.0,0.035,9.0,0.10500000000000001,0.0944386149003148,2.0,0.035,95.3,61,3,3,6.0,sidewalks,94.845,HMAC,1,2,2,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,2,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0.142,,,,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.035,95.3,9.0
501,High,RPath,924,3.0,3.0,0.012,9.0,0.036000000000000004,0.047872340425531915,2.0,0.012,188.0,53,3,3,6.0,sidewalks,134.378,HMAC,1,2,2,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0,5,0,0.04,,,,0.032,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,0,2.0,0.012,188.0,9.0
502,High,RPath,932,3.0,3.0,0.022,9.0,0.066,0.03540519276160504,2.0,0.022,254.2,53,3,3,6.0,sidewalks,252.423,HMAC,1,2,2,1,2,0,1,2,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0.089,,,,0.077,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,0,2.0,0.022,254.2,9.0
503,High,RPath,933,3.0,3.0,0.019,9.0,0.056999999999999995,0.1164294954721863,2.0,0.019,77.3,52,3,3,6.0,sidewalks,79.636,HMAC,1,2,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.078,,,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.019,77.3,9.0
504,High,RPath,934,3.0,3.0,0.083,9.0,0.249,0.11780104712041883,2.0,0.083,76.4,52,3,3,6.0,sidewalks,80.646,HMAC,1,2,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.275,,,,0.255,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.083,76.4,9.0
505,High,RPath,935,3.0,3.0,0.036,9.0,0.10799999999999998,0.09523809523809523,2.0,0.036,94.5,53,3,3,6.0,sidewalks,98.231,HMAC,1,2,2,1,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,3,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0.095,,,,0.079,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.036,94.5,9.0
506,High,RPath,937,3.0,3.0,0.012,9.0,0.036000000000000004,0.14018691588785046,2.0,0.012,64.2,52,3,3,6.0,sidewalks,70.182,HMAC,1,2,2,1,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,3,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0.047,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.012,64.2,9.0
507,High,RPath,940,3.0,3.0,0.065,9.0,0.195,0.1948051948051948,2.0,0.065,46.2,52,3,3,6.0,sidewalks,50.345,HMAC,1,2,2,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.162,,,,0.13,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.065,46.2,9.0
508,High,RPath,941,3.0,3.0,0.089,9.0,0.267,0.050590219224283306,2.0,0.089,177.9,53,3,3,6.0,sidewalks,177.229,HMAC,1,2,2,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.278,,,,0.253,0.017,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,0,2.0,0.089,177.9,9.0
509,High,RPath,942,3.0,3.0,0.052,9.0,0.156,0.03815175922000848,2.0,0.052,235.9,50,3,3,6.0,sidewalks,234.326,HMAC,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.21,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.052,235.9,9.0
510,High,RPath,943,3.0,3.0,0.059,9.0,0.177,0.07512520868113523,2.0,0.059,119.8,58,3,3,6.0,sidewalks,118.075,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.238,,,,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.059,119.8,19.0
511,High,RPath,944,3.0,3.0,0.059,9.0,0.177,0.030832476875642344,2.0,0.059,291.9,62,3,3,6.0,sidewalks,287.663,HMAC,1,2,2,1,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.221,,,,0.216,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.059,291.9,19.0
512,High,RPath,945,3.0,3.0,0.02,9.0,0.06,0.11857707509881422,2.0,0.02,75.9,53,3,3,6.0,sidewalks,80.545,HMAC,1,2,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.079,,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.02,75.9,9.0
513,High,RPath,946,3.0,3.0,0.099,9.0,0.29700000000000004,0.10356731875719216,2.0,0.099,86.9,52,3,3,6.0,sidewalks,89.354,HMAC,1,2,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.276,0.017,,,0.224,0.017,,,,,,,,,,,,0.017,,,,,,,,,,,,,,,,,0,2.0,0.099,86.9,9.0
514,High,RPath,961,3.0,3.0,0.099,9.0,0.29700000000000004,0.11920529801324503,2.0,0.099,75.5,62,3,3,6.0,sidewalks,75.577,CON,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,1,2,2,0,5,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0,0,5,0,0.338,,,,0.199,,,,,,,,,0.079,,0.02,,0.04,,,,,,,,,,,,,,,,,1,2.0,0.099,75.5,19.0
515,High,RPath,962,3.0,3.0,0.025,9.0,0.07500000000000001,0.0989010989010989,2.0,0.025,91.0,66,4,3,6.0,sidewalks,90.904,CON,1,2,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,1,2,2,0,5,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,1,0,0,5,0,0.099,,,,0.033,,,,,,,,,0.066,,,,,,,,,,,,,,,,,,,,,1,2.0,0.025,91.0,19.0
516,High,RPath,979,3.0,3.0,0.051,9.0,0.153,0.12228260869565219,2.0,0.051,73.6,62,3,3,6.0,sidewalks,73.579,HMAC,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,5,0,3,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,2,2,1,2,0,0,3,1,1,1,1,2,0,1,0,0,1,0,0,5,0,0.183,,,,0.163,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0,2.0,0.051,73.6,9.0
517,High,RPath,986,3.0,3.0,0.011,9.0,0.033,0.08875739644970414,2.0,0.011,101.4,50,3,3,6.0,sidewalks,101.435,CON,1,2,0,1,2,0,1,2,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,5,3,0.044,,,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.011,101.4,9.0
518,High,RPath,988,3.0,3.0,0.086,9.0,0.258,0.09384775808133472,2.0,0.086,95.9,59,3,3,6.0,sidewalks,113.36,CON,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,3,1,1,1,0,0,0,1,2,0,0,0,0,5,0,0.235,,,,0.156,,,,,,,,,,,,0.016,0.063,,,,,,,,,,,,,,,,,0,2.0,0.086,95.9,9.0
519,High,RPath,1002,3.0,3.0,0.015,9.0,0.045,0.0897308075772682,2.0,0.015,100.3,61,3,3,6.0,sidewalks,100.34,HMAC,1,2,2,1,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.06,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.015,100.3,9.0
520,High,RPath,1007,3.0,3.0,0.083,9.0,0.249,0.04547751389590702,2.0,0.083,197.9,62,3,3,6.0,sidewalks,197.906,HMAC,1,2,2,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,1,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0,0,1,2,0,0,0,0,0,3,1,0,1,1,2,0,1,0,0,1,0,0,5,0,0.326,,,,0.318,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,0,2.0,0.083,197.9,9.0
521,High,RPath,1008,3.0,3.0,0.059,9.0,0.177,0.07894736842105263,2.0,0.059,114.0,55,3,3,6.0,sidewalks,113.972,HMAC,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,1,0,0,5,0,0.237,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.059,114.0,9.0
522,High,RPath,1009,3.0,3.0,0.067,9.0,0.201,0.07269789983844911,2.0,0.067,123.8,66,4,3,6.0,sidewalks,124.163,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,0,2,1,2,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,5,3,1,0,1,1,0,0,1,2,0,1,0,0,5,0,0.254,,,,0.218,,,,,,,0.024,,,,,,0.012,,,,,,,,,,,,,,,,,0,2.0,0.067,123.8,9.0
523,High,RPath,1023,3.0,3.0,0.084,9.0,0.252,0.25280898876404495,2.0,0.084,35.6,64,4,3,6.0,sidewalks,23.14,CON,1,2,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,1,2,2,0,1,1,1,2,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.084,,,,,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.084,35.6,9.0
524,High,RPath,1026,3.0,3.0,0.019,9.0,0.056999999999999995,0.06479481641468682,2.0,0.019,138.9,54,3,3,6.0,sidewalks,136.25,CON,1,2,2,1,2,2,1,2,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.043,,,,0.032,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.019,138.9,9.0
525,High,RPath,1035,3.0,3.0,0.073,9.0,0.21899999999999997,0.031141868512110725,2.0,0.073,289.0,49,3,3,6.0,sidewalks,285.287,CON,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.073,,,,,0.062,,,0.005,,,,,,,,0.005,,,,,,,,,,,,,,,,,,3,2.0,0.073,289.0,39.0
526,High,RPath,1037,3.0,3.0,0.079,9.0,0.237,0.07853403141361257,2.0,0.079,114.6,50,3,3,6.0,sidewalks,113.156,CON,1,2,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.079,,,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.079,114.6,19.0
527,High,RPath,1039,3.0,3.0,0.065,9.0,0.195,0.04320691310609697,2.0,0.065,208.3,59,3,3,6.0,sidewalks,208.261,CON,1,2,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,1,2,0,0,1,1,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.065,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.065,208.3,19.0
528,High,RPath,1041,3.0,3.0,0.019,9.0,0.056999999999999995,0.04672897196261682,2.0,0.019,192.6,51,3,3,6.0,sidewalks,192.371,CON,1,2,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,1,2,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.031,,,,0.016,0.008,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,1,2.0,0.019,192.6,19.0
529,High,RPath,1045,3.0,3.0,0.074,9.0,0.22199999999999998,0.029673590504451036,2.0,0.074,303.3,52,3,3,6.0,sidewalks,302.333,CON,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,3,0.089,,,0.02,0.02,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,0.074,303.3,39.0
530,High,RPath,1050,3.0,3.0,0.066,9.0,0.198,0.11306532663316583,2.0,0.066,79.6,60,3,3,6.0,sidewalks,79.59,HMAC,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,5,3,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0.094,0.057,,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.066,79.6,29.0
531,High,RPath,1051,3.0,3.0,0.054,9.0,0.162,0.10856453558504221,2.0,0.054,82.9,59,3,3,6.0,sidewalks,79.353,CON,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.054,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.054,82.9,9.0
532,High,RPath,1053,3.0,3.0,0.018,9.0,0.05399999999999999,0.10856453558504221,2.0,0.018,82.9,57,3,3,6.0,sidewalks,78.859,CON,1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.018,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.018,82.9,9.0
533,High,RPath,1055,3.0,3.0,0.094,9.0,0.28200000000000003,0.12482662968099863,2.0,0.094,72.1,57,3,3,6.0,sidewalks,73.802,HMAC,1,2,2,1,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,5,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.374,,,,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.094,72.1,9.0
534,High,RPath,1064,3.0,3.0,0.06,9.0,0.18,0.053667262969588556,2.0,0.06,167.7,61,3,3,6.0,sidewalks,165.358,HMAC,1,2,0,1,2,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.107,,,,0.054,0.045,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.06,167.7,19.0
535,High,RPath,1078,3.0,3.0,0.029,9.0,0.08700000000000001,0.3435114503816794,2.0,0.029,26.2,63,3,3,6.0,sidewalks,26.211,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,2,2,1,2,0,0,0,0,1,2,2,0,5,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,2,0,5,1,2,0,0,1,1,1,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0.114,,,,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.029,26.2,9.0
