Priority_Rank,Priority_Category,FeatureType,AssetID,Impact,Contribution_Discrete,Contribution_Continuous,Benefit_Discrete,Benefit_Continuous,Benefit_Per_Asset_Length,ConditionScore,WeightedDistressExtentRatio,AssetLength,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,MI_Score_Public_Normalized,Risk_Product_Public_MI_x_Condition,source_layer,public_length_m,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,DistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,PedestrianIncidents_50m_2020_2024,ConditionScore_num,WeightedDistressExtentRatio_num,AssetLength_num,Benefit_With_Incidents
11,Very High,RPath,1155,5.0,4.0,0.007,20.0,0.035,0.09666505558240696,1.0,0.007,206.9,90,5,5,5.0,sidewalks,205.737,CON,1,2,2,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,1,2,0,5,0,0,2,1,0,0,1,2,2,1,2,2,0,0,0,1,2,2,0,1,2,0,0,1,1,1,2,2,5,5,0,0,0,1,0,0,1,2,2,1,2,0,1,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0.007,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.007,206.9,20.0
12,Very High,RPath,49,4.0,4.0,0.007,16.0,0.028,0.14285714285714285,1.0,0.007,112.0,71,4,4,4.0,sidewalks,108.951,CON,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,5,5,0,2,0,0,0,1,2,0,1,2,2,0,0,0,1,0,0,0,1,2,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.013,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,1,1.0,0.007,112.0,26.0
13,Very High,RPath,262,4.0,4.0,0.0,16.0,0.0,0.20330368487928843,1.0,0.0,78.7,80,4,4,4.0,sidewalks,82.173,CON,1,2,0,1,2,0,1,2,0,1,0,0,1,2,2,0,0,0,0,0,0,1,2,2,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,2,0,1,2,0,1,2,0,1,0,0,1,2,2,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,78.7,26.0
14,Very High,RPath,295,4.0,4.0,0.004,16.0,0.016,0.04092071611253197,1.0,0.004,391.0,85,5,4,4.0,sidewalks,384.874,CON,1,2,2,1,2,2,1,2,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.008,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,0,1.0,0.004,391.0,16.0
15,Very High,RPath,302,4.0,4.0,0.0,16.0,0.0,0.1791713325867861,1.0,0.0,89.3,74,4,4,4.0,sidewalks,85.541,HMAC,1,2,2,1,2,0,1,2,0,1,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,5,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,89.3,36.0
16,Very High,RPath,304,4.0,4.0,0.0,16.0,0.0,0.18348623853211007,1.0,0.0,87.2,68,4,4,4.0,sidewalks,87.784,HMAC,1,2,2,1,2,0,1,2,0,1,2,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,5,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,87.2,36.0
17,Very High,RPath,307,4.0,4.0,0.0,16.0,0.0,0.1927710843373494,1.0,0.0,83.0,67,4,4,4.0,sidewalks,82.657,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,83.0,16.0
18,Very High,RPath,357,4.0,4.0,0.0,16.0,0.0,0.07928642220019821,1.0,0.0,201.8,72,4,4,4.0,sidewalks,201.79,HMAC,1,2,2,1,2,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,1,0,1,2,2,5,5,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,201.8,26.0
19,Very High,RPath,401,4.0,4.0,0.0,16.0,0.0,0.12148823082763859,1.0,0.0,131.7,77,4,4,4.0,sidewalks,129.514,CON,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,0.0,131.7,36.0
20,Very High,RPath,407,4.0,4.0,0.005,16.0,0.02,0.201765447667087,1.0,0.005,79.3,74,4,4,4.0,sidewalks,82.89,CON,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,2,0,5,1,2,0,0,1,0,1,2,0,0,0,0,3,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,2,2,0,0,0,5,3,1,0,1,1,2,0,0,0,0,0,0,0,5,0,0.019,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.005,79.3,16.0
