Priority_Rank,Priority_Category,FeatureType,AssetID,Benefit_Discrete,Impact,Contribution_Discrete,RepairCost_Low,RepairCost_Mid,RepairCost_High,Benefit_per_Cost_Mid,SurfaceFamily,AssetLength,ConditionScore,MI_Score_Public_Normalized,public_length_m,Contribution_Continuous,Benefit_Continuous,Benefit_Per_Asset_Length,WeightedDistressExtentRatio,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,Risk_Product_Public_MI_x_Condition,source_layer,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,DistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,PedestrianIncidents_50m_2020_2024,ConditionScore_num,WeightedDistressExtentRatio_num,AssetLength_num,Benefit_With_Incidents,public_length_m_num
159,High,RPath,559,12.0,4.0,3.0,174.0,261.0,347.0,0.04597701149425287,Asphalt,94.9,2.0,4,91.805,0.067,0.268,0.1264488935721812,0.067,70,4,8.0,sidewalks,CON,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,2,2,0,0,0,3,1,1,0,0,1,2,2,1,0,0,0,0,0,1,0,0,1,2,0,1,2,2,1,2,0,0,3,1,1,1,1,2,2,0,0,0,1,0,0,5,0,0.237,,,,0.206,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,0,2.0,0.067,94.9,12.0,91.805
160,High,RPath,562,12.0,4.0,3.0,121.0,181.0,241.0,0.06629834254143646,Asphalt,126.4,2.0,4,126.267,0.039,0.156,0.0949367088607594,0.039,70,4,8.0,sidewalks,CON,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,2,2,0,5,0,3,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,1,2,0,0,0,1,1,1,1,2,2,0,0,0,1,0,0,5,0,0.142,,,,0.131,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,0,2.0,0.039,126.4,12.0,126.267
161,High,RPath,564,12.0,4.0,3.0,337.0,506.0,674.0,0.023715415019762844,Asphalt,124.6,2.0,4,125.283,0.081,0.324,0.0963081861958266,0.081,68,4,8.0,sidewalks,CON,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,0,1,2,0,1,2,2,1,0,0,0,0,0,1,0,0,1,2,0,1,2,0,1,2,2,0,3,1,1,1,1,2,0,0,0,0,0,0,0,5,0,0.253,,,,0.181,,,,,,,,,,,0.012,,0.06,,,,,,,,,,,,,,,,,0,2.0,0.081,124.6,12.0,125.283
162,High,RPath,565,12.0,4.0,3.0,150.0,225.0,300.0,0.05333333333333334,Asphalt,125.0,2.0,4,124.561,0.042,0.168,0.096,0.042,74,4,8.0,sidewalks,CON,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,2,0,5,0,3,1,1,2,0,1,2,2,1,0,0,0,0,0,1,0,0,1,2,0,1,2,2,1,2,2,0,3,1,1,1,1,2,2,0,0,0,1,0,0,5,0,0.144,,,,0.12,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,0,2.0,0.042,125.0,12.0,124.561
163,High,RPath,566,12.0,4.0,3.0,202.0,303.0,404.0,0.039603960396039604,Asphalt,93.2,2.0,4,93.535,0.097,0.388,0.1287553648068669,0.097,74,4,8.0,sidewalks,CON,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,2,0,1,2,2,1,0,0,0,0,0,1,0,0,1,2,0,1,2,2,1,2,0,0,3,1,1,1,1,2,2,0,0,0,1,0,0,5,0,0.37,,,,0.354,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0,2.0,0.097,93.2,12.0,93.535
164,High,RPath,567,12.0,4.0,3.0,74.0,111.0,148.0,0.10810810810810811,Asphalt,92.2,2.0,4,91.99,0.028,0.112,0.1301518438177874,0.028,77,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,2,0,1,2,0,1,2,0,0,0,0,1,0,0,1,2,0,1,2,2,1,2,0,0,3,1,1,1,1,2,2,1,0,0,1,0,0,5,0,0.098,,,,0.081,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0,2.0,0.028,92.2,12.0,91.99
165,High,RPath,568,12.0,4.0,3.0,104.0,157.0,209.0,0.07643312101910828,Asphalt,74.0,2.0,4,73.296,0.056,0.224,0.1621621621621621,0.056,73,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,2,0,1,2,0,1,2,0,0,0,0,1,2,0,1,2,0,1,2,0,1,2,0,0,3,1,1,1,1,2,0,1,0,0,1,0,0,5,0,0.203,,,,0.182,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0,2.0,0.056,74.0,12.0,73.296
166,High,RPath,570,12.0,4.0,3.0,45.0,67.0,90.0,0.1791044776119403,Asphalt,74.3,2.0,4,73.929,0.03,0.12,0.161507402422611,0.03,70,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,2,0,0,0,3,1,1,0,0,1,2,0,1,0,0,0,0,0,1,2,0,1,2,0,1,2,2,1,2,0,0,3,1,1,1,1,2,2,1,0,0,1,0,0,5,0,0.121,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.03,74.3,12.0,73.929
167,High,RPath,571,12.0,4.0,3.0,75.0,113.0,150.0,0.10619469026548672,Asphalt,74.0,2.0,4,73.989,0.051,0.204,0.1621621621621621,0.051,76,4,8.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,0,0,1,2,0,1,2,0,0,0,0,1,2,0,1,2,2,1,2,0,1,2,2,0,0,1,1,1,1,2,0,1,2,0,1,0,0,5,0,0.203,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.051,74.0,22.0,73.989
168,High,RPath,572,12.0,4.0,3.0,23.0,34.0,45.0,0.35294117647058826,Asphalt,92.1,2.0,4,92.141,0.012,0.048,0.1302931596091205,0.012,77,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,0,1,1,0,0,1,2,0,1,2,0,0,0,0,1,2,0,1,2,2,1,2,2,1,2,2,0,0,1,1,1,1,2,2,1,0,0,1,0,0,5,0,0.049,,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.012,92.1,12.0,92.141
169,High,RPath,573,12.0,4.0,3.0,15.0,23.0,30.0,0.5217391304347826,Asphalt,73.4,2.0,4,73.371,0.01,0.04,0.1634877384196185,0.01,75,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,2,0,0,0,3,1,1,0,0,1,2,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,0,0,1,1,1,1,2,2,1,2,0,1,0,0,5,0,0.041,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.01,73.4,22.0,73.371
170,High,RPath,574,12.0,4.0,3.0,30.0,45.0,60.0,0.26666666666666666,Asphalt,91.7,2.0,4,91.7,0.016,0.064,0.1308615049073064,0.016,81,4,8.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,1,1,2,0,1,2,0,1,0,0,5,0,0.065,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.016,91.7,32.0,91.7
171,High,RPath,575,12.0,4.0,3.0,23.0,34.0,45.0,0.35294117647058826,Asphalt,74.3,2.0,4,74.275,0.015,0.06,0.161507402422611,0.015,83,5,8.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,0,1,2,2,1,2,0,1,2,2,5,0,1,1,1,1,2,0,1,2,0,1,2,0,5,0,0.061,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.015,74.3,22.0,74.275
172,High,RPath,576,12.0,4.0,3.0,60.0,89.0,119.0,0.1348314606741573,Asphalt,92.4,2.0,4,92.374,0.02,0.08,0.1298701298701298,0.02,80,4,8.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,1,1,2,0,1,2,0,1,0,0,5,0,0.065,,,,0.049,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,2,2.0,0.02,92.4,32.0,92.374
173,High,RPath,591,12.0,4.0,3.0,154.0,231.0,308.0,0.05194805194805195,Asphalt,85.5,2.0,4,85.837,0.018,0.072,0.1403508771929824,0.018,76,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,1,2,0,1,0,0,1,2,2,1,2,2,0,0,0,0,0,0,5,5,0,2,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,5,1,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.018,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.018,85.5,32.0,85.837
174,High,RPath,593,12.0,4.0,3.0,7.0,11.0,15.0,1.0909090909090908,Asphalt,83.2,2.0,4,79.775,0.018,0.072,0.1442307692307692,0.018,72,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,1,2,0,1,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.018,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.018,83.2,22.0,79.775
175,High,RPath,599,12.0,4.0,3.0,236.0,354.0,471.0,0.03389830508474576,Asphalt,85.7,2.0,4,85.49,0.07,0.28,0.1400233372228704,0.07,68,4,8.0,sidewalks,HMAC,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,5,1,2,2,0,1,1,1,2,2,5,5,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.227,0.017,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.0,0.07,85.7,42.0,85.49
176,High,RPath,600,12.0,4.0,3.0,311.0,466.0,621.0,0.02575107296137339,Asphalt,318.5,2.0,4,318.24,0.045,0.18,0.0376766091051805,0.045,69,4,8.0,sidewalks,HMAC,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,3,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0.174,,,,0.17,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,8,2.0,0.045,318.5,42.0,318.24
177,High,RPath,604,12.0,4.0,3.0,112.0,169.0,225.0,0.07100591715976332,Asphalt,116.5,2.0,4,116.495,0.048,0.192,0.1030042918454935,0.048,77,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.193,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.048,116.5,12.0,116.495
178,High,RPath,605,12.0,4.0,3.0,60.0,90.0,120.0,0.13333333333333333,Asphalt,73.5,2.0,4,73.515,0.041,0.164,0.1632653061224489,0.041,75,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.163,,,,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.041,73.5,12.0,73.515
179,High,RPath,606,12.0,4.0,3.0,38.0,57.0,75.0,0.21052631578947367,Asphalt,90.9,2.0,4,90.874,0.021,0.084,0.132013201320132,0.021,76,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,2,0,0,5,0,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.021,90.9,12.0,90.874
180,High,RPath,610,12.0,4.0,3.0,89.0,133.0,178.0,0.09022556390977443,Asphalt,265.5,2.0,4,266.531,0.025,0.1,0.0451977401129943,0.025,74,4,8.0,sidewalks,HMAC,1,2,2,1,2,2,1,2,0,0,0,0,1,2,2,0,0,0,0,0,0,1,2,2,0,5,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,2,0,1,2,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.068,,,,0.056,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.025,265.5,12.0,266.531
181,High,RPath,611,12.0,4.0,3.0,96.0,145.0,193.0,0.08275862068965517,Asphalt,275.3,2.0,4,275.572,0.03,0.12,0.0435888122048674,0.03,80,4,8.0,sidewalks,HMAC,1,2,0,1,2,2,1,2,0,0,0,0,1,2,2,1,2,2,0,0,0,1,2,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.071,,,,0.054,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.03,275.3,12.0,275.572
182,High,RPath,612,12.0,4.0,3.0,23.0,34.0,45.0,0.35294117647058826,Asphalt,76.6,2.0,4,76.07,0.029,0.116,0.1566579634464752,0.029,79,4,8.0,sidewalks,HMAC,1,2,0,1,2,0,1,2,0,0,0,0,1,2,2,1,2,0,0,0,0,1,2,2,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,5,0,0.059,,,,0.039,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.029,76.6,12.0,76.07
183,High,RPath,621,12.0,4.0,3.0,23.0,34.0,45.0,0.35294117647058826,Asphalt,70.6,2.0,4,72.462,0.016,0.064,0.1699716713881019,0.016,74,4,8.0,sidewalks,HMAC,1,2,0,1,2,2,1,2,0,0,0,0,1,2,2,1,2,2,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.064,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.016,70.6,12.0,72.462
184,High,RPath,622,12.0,4.0,3.0,128.0,192.0,256.0,0.0625,Asphalt,350.8,2.0,4,350.64,0.025,0.1,0.0342075256556442,0.025,81,4,8.0,sidewalks,HMAC,1,2,0,1,2,0,1,2,0,0,0,0,1,2,2,1,2,0,0,0,0,1,2,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,2,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.073,,,,0.064,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.025,350.8,12.0,350.64
185,High,RPath,627,12.0,4.0,3.0,68.0,101.0,135.0,0.1188118811881188,Asphalt,108.1,2.0,4,108.115,0.021,0.084,0.1110083256244218,0.021,69,4,8.0,sidewalks,HMAC,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,5,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,3,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0.069,,,,0.055,,,,,,,,,,,,,0.014,,,,,,,,,,,,,,,,,0,2.0,0.021,108.1,12.0,108.115
186,High,RPath,637,12.0,4.0,3.0,1121.0,1681.0,2242.0,0.007138607971445568,Asphalt,319.8,2.0,4,319.562,0.077,0.308,0.0375234521575984,0.077,85,5,8.0,sidewalks,CON,1,2,2,1,2,2,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,0,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,1,2,2,0,0,0,5,3,1,0,1,1,2,0,0,0,0,0,0,0,5,0,0.188,,,0.019,0.122,0.009,,,,,,,,,,,,0.038,,,,,,,,,,,,,,,,,0,2.0,0.077,319.8,12.0,319.562
187,High,RPath,638,12.0,4.0,3.0,210.0,315.0,420.0,0.0380952380952381,Asphalt,83.3,2.0,4,83.334,0.099,0.396,0.1440576230492196,0.099,72,4,8.0,sidewalks,HMAC,1,2,0,1,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,2,2,0,0,0,5,3,0,0,1,1,2,0,0,0,0,0,0,0,5,0,0.36,,,,0.324,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,0,2.0,0.099,83.3,12.0,83.334
188,High,RPath,661,12.0,4.0,3.0,82.0,123.0,165.0,0.0975609756097561,Asphalt,83.1,2.0,4,83.433,0.032,0.128,0.1444043321299639,0.032,75,4,8.0,sidewalks,HMAC,1,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,2,0,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,0,0,0,1,1,1,2,2,5,0,4,3,1,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,2,0,1,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.126,,,,0.108,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.032,83.1,32.0,83.433
189,High,RPath,662,12.0,4.0,3.0,142.0,213.0,284.0,0.056338028169014086,Asphalt,208.9,2.0,4,208.31,0.034,0.136,0.0574437529918621,0.034,78,4,8.0,sidewalks,CON,1,2,0,1,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,2,2,0,5,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,1,2,0,1,2,2,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.136,,,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.034,208.9,12.0,208.31
190,High,RPath,663,12.0,4.0,3.0,90.0,135.0,180.0,0.08888888888888889,Asphalt,78.7,2.0,4,80.03,0.057,0.228,0.1524777636594663,0.057,79,4,8.0,sidewalks,HMAC,1,2,0,1,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,2,2,0,5,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,0,1,1,1,2,2,5,0,0,3,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,1,2,0,1,2,2,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.229,,,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.057,78.7,12.0,80.03
191,High,RPath,665,12.0,4.0,3.0,98.0,146.0,195.0,0.0821917808219178,Asphalt,78.7,2.0,4,85.347,0.062,0.248,0.1524777636594663,0.062,74,4,8.0,sidewalks,HMAC,1,2,2,1,2,2,1,2,2,1,0,0,1,2,2,0,0,0,0,0,0,1,2,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,2,0,5,0,0,3,1,0,0,0,0,0,0,1,2,0,1,2,0,1,2,0,1,0,0,1,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0.248,,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.062,78.7,12.0,85.347
192,High,RPath,670,12.0,4.0,3.0,187.0,281.0,375.0,0.042704626334519574,Asphalt,105.0,2.0,4,107.088,0.089,0.356,0.1142857142857142,0.089,83,5,8.0,sidewalks,HMAC,1,2,2,1,2,2,1,2,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,0,5,5,0,0,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,5,3,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0.357,,,,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.089,105.0,12.0,107.088
