sensor_index,monitor,network,lat,lng,date,prov_terr,pm25_recent_r,pm25_recent,pm25_1hr_r,pm25_1hr,pm25_3hr_r,pm25_3hr,pm25_24hr_r,pm25_24hr,temperature,rh,pressure,val_24hr_r,val_1hr_r,val_r,val_24hr,val_1hr,val,icon_url_24hr_r,icon_url_1hr_r,icon_url_r,icon_url_24hr,icon_url_1hr,icon_url
223173,Fifth Third Field,PA,41.64857,-83.53866,2025-10-17 21:00:00,United States,1,0.8,1.4,1.2,1.5,1.2,1.7,1.4,,,,2,1,1,1,1,1,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png
223177,HAVEN HQ,PA,49.237755,-122.78228,2025-10-17 21:00:00,British Columbia,1.6,1.3,2,1.6,2.8,2.3,8.1,6.6,,,,8,2,2,7,2,1,icons/icon_21_8.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_7.png,icons/icon_21_2.png,icons/icon_21_1.png
223201,AppleGreenePark,PA,49.14885,-123.180504,2025-10-17 21:00:00,British Columbia,3.3,2.6,3.1,2.5,3.9,3,8.7,6.3,16.7,51.8,1021.3,9,3,3,6,2,3,icons/icon_21_9.png,icons/icon_21_3.png,icons/icon_21_3.png,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_3.png
223205,East Deering,PA,43.68518,-70.255554,2025-10-17 21:00:00,United States,2,1.8,2,1.8,1.8,1.6,0.9,0.7,20,34.8,1011.6,1,2,2,1,2,2,icons/icon_21_1.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_2.png,icons/icon_21_2.png
223211,Dunrobin,PA,45.424786,-76.023186,2025-10-17 21:00:00,Ontario,0.6,0.5,0.8,0.7,0.8,0.7,0.4,0.3,17.2,32,1008.5,0,1,1,0,1,0,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png
223245,All Nations Healing Hospital/FHQTC Health Services,PA,50.761063,-103.78715,2025-10-17 21:00:00,Saskatchewan,1.4,1.1,1.3,1,1.2,0.9,1,0.8,,,,1,1,1,1,1,1,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png
223261,oncrr2,PA,48.596565,-120.4015,2025-10-17 21:00:00,United States,2.6,2.4,3.3,3,4.1,3.7,16.3,12.3,18.9,21,941.7,16,3,3,12,3,2,icons/icon_21_16.png,icons/icon_21_3.png,icons/icon_21_3.png,icons/icon_21_12.png,icons/icon_21_3.png,icons/icon_21_2.png
223301,Howland Research Forest,PA,45.20396,-68.73999,2025-10-17 21:00:00,Canada_Buffer,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,16.9,44.5,1003,0,0,0,0,0,0,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png
223304,Warren &amp; Cadillac-5b3d,PA,42.382286,-82.99628,2025-10-17 21:00:00,United States,0.6,0.5,1,0.9,0.8,0.7,12.4,8,14.2,45.8,951.4,12,1,1,8,1,0,icons/icon_21_12.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_8.png,icons/icon_21_1.png,icons/icon_21_0.png
223311,Vernor &amp; Cadillac-5af6,PA,42.366966,-82.986145,2025-10-17 21:00:00,United States,0.2,0.2,0.4,0.3,0.4,0.3,1.9,1.4,23.3,32,992.9,2,0,0,1,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
223365,8 mile &amp; Burt-5acd,PA,42.44318,-83.2491,2025-10-17 21:00:00,United States,0.9,0.8,0.8,0.7,0.7,0.6,5.7,4.5,24.2,28,990.5,6,1,1,4,1,1,icons/icon_21_6.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_4.png,icons/icon_21_1.png,icons/icon_21_1.png
223387,Churchill Manitoba,PA,58.73788,-93.81834,2025-10-17 21:00:00,Manitoba,2.3,1.5,1.7,1.2,1.1,0.8,0.4,0.3,9.4,67,998.9,0,2,2,0,1,2,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_2.png
223395,7 Mile &amp; Greenfield-5b1d,PA,42.430416,-83.19971,2025-10-17 21:00:00,Canada_Buffer,1.3,1.2,0.7,0.7,0.6,0.6,7.1,5.6,26.7,26,989.9,7,1,1,6,1,1,icons/icon_21_7.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_6.png,icons/icon_21_1.png,icons/icon_21_1.png
223505,SAMBA,PA,53.650555,-113.61139,2025-10-17 21:00:00,Alberta,0,0,0.1,0.1,0.1,0.1,2.4,2.1,13.3,31,928.2,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
223513,Calwest1,PA,51.020603,-114.10116,2025-10-17 21:00:00,Alberta,0.8,0.7,1.6,1.3,1.6,1.3,1.4,1.2,12.8,38.8,882.2,1,2,1,1,1,1,icons/icon_21_1.png,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png
223519,CAD-RPC,PA,45.94156,-66.647606,2025-10-17 21:00:00,New Brunswick,1.4,1.1,1.3,1.1,1.1,0.9,1.2,0.9,14.4,48,999.8,1,1,1,1,1,1,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png
223523,Mountain Trek Lodge,PA,49.739777,-116.91323,2025-10-17 21:00:00,British Columbia,0.2,0.2,0.3,0.2,0.2,0.2,6.1,5.1,16.3,49.7,940.7,6,0,0,5,0,0,icons/icon_21_6.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_5.png,icons/icon_21_0.png,icons/icon_21_0.png
223531,Mackenzie County La Crete,PA,58.179443,-116.403336,2025-10-17 21:00:00,Alberta,0,0,0,0,0,0,1.9,1.4,12.8,34.7,959.7,2,0,0,1,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
