"FSA","location_name","Vulnerability_Communication_Kindergarten","Vulnerability_Emotional_Kindergarten","Vulnerability_Cognitive_Kindergarten","Vulnerability_Physical_Kindergarten","Vulnerability_Social_Kindergarten","Vulnerability_One_or_More_Areas_Kindergarten","Life_Expectancy_Total_All_Ages","PYLL_Smoking_Attributable_Deaths","PYLL_Drug_Induced_Deaths","PYLL_Alcohol_Related_Deaths","PYLL_Accidental_Falls","PYLL_Motor_Vehicle_Accidents","Infant_Mortality_Rate_1_Year","Low_Birth_Rate_1_Year","Asthma_Prevalence_5_54_Years","COPD_Prevalence_45_Years","Diabetes_Prevalence_1_Years","Heart_Failure_Prevalence_1_Years","Hypertension_Prevalence_20_Years","Asthma_Incidence_5_54_Years","COPD_Incidence_45_Years","Diabetes_Incidence_1_Years","Heart_Failure_Incidence_1_Years","Hypertension_Incidence_20_Years","General_Practitioners_Per_100000_Population","Specialists_Per_100000_Population","Supplementary_Practitioners_Per_100000_Population","Alcohol_Consumption_Per_Capita","Injury_Hospitalization_Count","All_Cause_Cancer_Incident_Cases","Depression_Incident_Counts_1_Years","Asthma_Incident_Counts_5_54_Years","COPD_Incident_Counts_45_Years","Hypertension_Incident_Counts_20_Years","Heart_Failure_Incident_Counts_1_Years","Diabetes_Incident_Counts_1_Years","total_gaming_grant_2022","avg_gaming_grant_2022","population","pop_density","mean_age","median_age","num_living_alone","avg_household_size","num_single_ppl","median_person_income","median_household_income","low_income_percent","gini_household","num_eng_speakers","num_indigenous","num_non_indigenous","avg_room_dwelling","excess_rent","num_non_immig","num_non_minority","num_non_1yr_mover","num_hs_edu","num_postsecond","num_employed","avg10yr_noiselvl2019","avg10yr_landsat_fsa2019","pm25_fsa_avg10yr_2020","avg3yr_landtemp_2021","avg2019_buil_dense_100m","avg2019_facility_richness","avg2019_prox.emp","avg2019_prox_health","avg2019_prox_park","avg2021_canbics_index","avg10yr_annual_precipitation","2020s_summer_tmean_change","2050s_summer_tmean_change","total_heat","pop_chng","median_age_chgn"
"V8A","Powell River",0.17,0.18,0.13,0.2,0.18,0.36,80.7,1.46,2.18,1.92,0.83,1.31,3,35,13.3,8.5,7,2.3,23.7,5.1,10.4,3.8,3.1,18,192,45,131,2,2524,729,183,85,123,194,83,88,1965254,25522.77922,513.142857142857,835.711428571429,49.1264705882353,53.6441176470588,82.2058823529412,2.15294117647059,187.941176470588,36642.4242424242,67657.5757575758,12.8969696969697,0.291212121212121,484.117647058824,32.5,478.676470588235,6.39411764705882,20.5870967741935,446.617647058824,489.117647058824,453.823529411765,364.705882352941,151.764705882353,209.117647058824,59.058,0.352,4.559,24.667,0.099,0.001,0.004,0.003,0.023,0,113.405833333333,0.8,2.5,198,6652,-2
"V8B","Squamish",0.13,0.18,0.08,0.14,0.14,0.31,82.4,0.89,0.59,1.15,2.69,1,3,48,11.7,4.6,6.3,2,20.3,6.7,6.5,4.6,3.4,22,155,17,279,4.3,5112,569,501,256,82,313,75,146,1650688,22612.16438,881.545454545455,1640.25909090909,38.8380952380952,38.9904761904762,89.7619047619048,2.64285714285714,290.714285714286,50442.1052631579,114473.684210526,6.27894736842105,0.295157894736842,785.952380952381,43.8095238095238,858.095238095238,6.13809523809524,28.6111111111111,677.380952380952,748.809523809524,722.380952380952,670.714285714286,404.52380952381,527.142857142857,59.6915,0.236,5.414,26.579,0.149,0.007,0.011,0.007,0.023,1.19,140.712083333333,0.9,2.9,198,24178,2.1
"V8C","Kitimat",0.21,0.19,0.18,0.21,0.25,0.46,80,1.02,0.57,1.52,0,0.34,10,42,16.9,11.9,10.6,3.1,28.6,12.4,21.4,7.7,6.3,27.9,97,19,19,2.2,1908,252,114,104,87,105,54,62,853776,21891.69231,492.071428571429,1231.17142857143,42.4642857142857,43.8285714285714,68.9285714285714,2.26428571428571,167.142857142857,51733.3333333333,102166.666666667,6.05454545454545,0.290583333333333,458.928571428571,79.2857142857143,407.142857142857,6.78571428571429,8.82727272727273,407.5,453.571428571429,425.357142857143,320,136.785714285714,223.571428571429,59.6835,0.315,5.317,25.646,0.099,0,0.003,0.01,0.02,0,194.88,0.8,2.5,125,2120,2
"V8E","Whistler",0.13,0.18,0.08,0.14,0.14,0.31,82.4,0.89,0.59,1.15,2.69,1,3,48,11.7,4.6,6.3,2,20.3,6.7,6.5,4.6,3.4,22,155,17,279,4.3,5112,569,501,256,82,313,75,146,1650688,22612.16438,811.625,881.71875,38.2375,36.325,95.625,2.4,348.125,44975,100312.5,7.15,0.3616875,680,4.375,768.125,5.21875,34.08125,503.75,684.375,596.5625,656.25,381.5625,462.8125,59.4415,0.341,5.5685,24.011,0.15,0.013,0.006,0.001,0.063,4.223,151.347666666667,0.9,2.9,198,24178,2.1
"V8G","Thornhill",0.21,0.14,0.18,0.22,0.16,0.4,78,1.42,1.16,2.75,0.76,3.38,7,49,12.7,7.5,8.2,3.4,26.2,5.6,8,5.4,4.4,20.8,74,74,74,2.2,3758,469,249,108,67,191,71,97,853776,21891.69231,436.022727272727,848.690909090909,40.0904761904762,39.8857142857143,53.0952380952381,2.48809523809524,159.166666666667,45082.9268292683,94190.243902439,9.64878048780488,0.282292682926829,423.214285714286,115.714285714286,336.071428571429,6.54285714285714,13.0875,405.238095238095,419.642857142857,388.928571428571,293.690476190476,146.547619047619,230.952380952381,59.289,0.343,5.888,25.056,0.1,0.001,0.006,0.007,0.03,0,131.084,0.8,2.5,125,538,14.9
"V8J","Prince Rupert",0.28,0.21,0.28,0.19,0.25,0.5,78.6,1.5,1.02,2.87,0.31,3.63,15,43,12,5.4,8.9,3.2,28.5,6,6.4,7.3,5.4,25.2,133,28,84,2.5,2750,309,128,80,37,139,64,91,728576,18681.4359,398.225806451613,2076.93793103448,40.8827586206897,40.5724137931035,55.6896551724138,2.40344827586207,163.275862068966,45771.4285714286,99621.4285714286,9.41481481481482,0.308392857142857,401.724137931034,156.724137931034,268.793103448276,6.25172413793103,13.3642857142857,356.379310344828,357.413793103448,366.034482758621,258.965517241379,118.275862068966,212.241379310345,59.9345,0.206,4.299,24.384,0.119,0.002,0.009,0.01,0.018,0,176.684166666667,0.7,2.1,125,4142,4
"V8K","Salt Spring Island",0.16,0.18,0.13,0.19,0.19,0.35,82,1.1,0.63,1.48,1.13,1.73,2,51,13.1,10.3,7.3,1.9,23,5.5,12.6,5,3.2,17.6,118,84,141,1.8,7872,1807,572,285,385,557,231,307,1848820,22274.93976,1057.72727272727,122.481818181818,51.2181818181818,55.9727272727273,145,2.20909090909091,374.090909090909,37454.5454545455,75754.5454545455,13.4909090909091,0.388818181818182,913.181818181818,37.2727272727273,977.727272727273,6.09090909090909,40.1727272727273,794.545454545455,965.454545454546,903.636363636364,819.090909090909,338.181818181818,477.727272727273,60.0155,0.553,5.517,20.688,0.024,0.004,0.002,0.003,0.012,0,100.726416666667,0.8,2.6,198,6968,-3.8
"V8L","North Saanich",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,1848820,22274.93976,579.720930232558,1822.1976744186,52.346511627907,56.8,76.7441860465116,2.28837209302326,183.488372093023,47447.619047619,99030.9523809524,7.07142857142857,0.314642857142857,520,24.7674418604651,536.976744186047,6.75581395348837,23.8485714285714,453.255813953488,523.837209302326,499.302325581395,451.627906976744,172.906976744186,244.651162790698,58.903,0.385,5.941,25.593,0.142,0.005,0.008,0.004,0.046,2.025,93.00875,0.8,2.6,198,25175,-1.8
"V8M","North Saanich",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,1848820,22274.93976,645.870967741935,1261.55483870968,47.0193548387097,50.2,73.2258064516129,2.46451612903226,209.032258064516,47967.7419354839,103367.741935484,6.79333333333333,0.289967741935484,585,59.1935483870968,574.354838709677,6.84838709677419,17.82,533.387096774194,589.354838709677,574.032258064516,474.032258064516,210.645161290323,308.548387096774,59.289,0.401,5.959,25.855,0.131,0.002,0.006,0.002,0.043,0.396,93.58975,0.8,2.6,198,25175,-1.8
"V8N","Victoria",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,1249086.23,27757.47178,586.803921568627,2306.00392156863,44.5725490196078,45.4960784313726,49.4117647058824,2.63333333333333,226.764705882353,44214,108076,8.962,0.3271,506.666666666667,12.0588235294118,559.117647058824,7.14901960784314,35.1914893617021,387.254901960784,391.764705882353,487.156862745098,447.254901960784,207.745098039216,262.549019607843,58.903,0.423,5.806,25.079,0.15,0.001,0.032,0.022,0.066,1.706,93.52775,0.8,2.6,198,92643,2
"V8P","Victoria",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,2751436,41066.20896,617.666666666667,2832.72,43.7566666666667,43.28,79.6666666666667,2.34333333333333,254.833333333333,43600,92210,8.75333333333333,0.299866666666667,532,20.6666666666667,583.333333333333,6.31333333333333,36.7857142857143,470.333333333333,479.5,490.666666666667,475.5,231.166666666667,312.333333333333,59.058,0.427,5.778,26.209,0.149,0.002,0.052,0.038,0.061,1.794,94.0258333333333,0.8,2.6,198,92643,2
"V8R","Victoria",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,1249086.23,27757.47178,561.659574468085,4119.01489361702,44.5787234042553,45.5170212765957,92.1276595744681,2.22340425531915,229.36170212766,47804.2553191489,95353.1914893617,8.97872340425532,0.330297872340426,477.127659574468,18.6170212765957,524.468085106383,5.98510638297872,35.4444444444444,421.595744680851,455.531914893617,459.468085106383,433.829787234043,227.978723404255,286.702127659574,58.903,0.406,5.791,26.137,0.169,0.003,0.055,0.048,0.124,1.579,94.38525,0.8,2.6,198,92643,2
"V8S","Victoria",0.11,0.15,0.06,0.14,0.13,0.28,82.4,1.01,1.09,1.14,1.15,0.3,5,53,12.1,5.1,6.8,1.6,20.7,6.1,6.4,4.9,3,16.7,183,174,239,1.7,26994,6564,2854,1133,743,1946,897,1067,1249086.23,27757.47178,556.757575757576,3710.82727272727,48.1333333333333,50.6878787878788,97.1212121212121,2.13939393939394,209.393939393939,51557.5757575758,99827.2727272727,8.46060606060606,0.364484848484848,451.212121212121,12.7272727272727,532.272727272727,6.27272727272727,42.248275862069,430.757575757576,485.909090909091,474.545454545455,451.212121212121,221.212121212121,272.272727272727,58.903,0.442,5.867,24.589,0.164,0.003,0.049,0.041,0.087,1.642,94.8501666666667,0.8,2.6,198,92643,2
"V8T","Victoria",0.11,0.15,0.06,0.14,0.13,0.28,82.4,1.01,1.09,1.14,1.15,0.3,5,53,12.1,5.1,6.8,1.6,20.7,6.1,6.4,4.9,3,16.7,183,174,239,1.7,26994,6564,2854,1133,743,1946,897,1067,2751436,41066.20896,598.594594594595,5850.7,41.8918918918919,40.4864864864865,144.324324324324,1.8972972972973,313.378378378378,39318.9189189189,63045.9459459459,16.4891891891892,0.297972972972973,505.27027027027,33.3783783783784,520.540540540541,4.25945945945946,39.3243243243243,421.486486486486,431.216216216216,440,430.810810810811,236.351351351351,315.540540540541,61.552,0.277,5.876,29.013,0.214,0.005,0.082,0.044,0.156,4.341,94.7266666666667,0.8,2.6,198,92643,2
"V8V","Victoria",0.11,0.15,0.06,0.14,0.13,0.28,82.4,1.01,1.09,1.14,1.15,0.3,5,53,12.1,5.1,6.8,1.6,20.7,6.1,6.4,4.9,3,16.7,183,174,239,1.7,26994,6564,2854,1133,743,1946,897,1067,3969702,40507.16327,706.166666666667,8636.5,48.9166666666667,49.5666666666667,237.261904761905,1.64761904761905,363.690476190476,43857.1428571429,65950,13.9738095238095,0.335666666666667,587.619047619048,31.7857142857143,636.666666666667,4.07619047619048,44.85,513.214285714286,580.833333333333,524.880952380952,581.904761904762,300.595238095238,369.047619047619,61.6135,0.317,5.944,26.365,0.237,0.008,0.067,0.045,0.123,4.985,95.3029166666667,0.8,2.6,198,92643,2
"V8W","Victoria",0.11,0.15,0.06,0.14,0.13,0.28,82.4,1.01,1.09,1.14,1.15,0.3,5,53,12.1,5.1,6.8,1.6,20.7,6.1,6.4,4.9,3,16.7,183,174,239,1.7,26994,6564,2854,1133,743,1946,897,1067,3969702,40507.16327,936,6685.36666666667,41.7666666666667,37.7333333333333,366.666666666667,1.43333333333333,593.333333333333,43866.6666666667,57866.6666666667,19.9333333333333,0.387,710,31.6666666666667,775,2.86666666666667,45.8666666666667,588.333333333333,605,495,730,446.666666666667,571.666666666667,62.9165,0.105,5.965,29.562,0.391,0.032,0.12,0.069,0.188,9.118,95.0664166666667,0.8,2.6,198,92643,2
"V8X","Victoria",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,2004920,27093.51351,586.888888888889,3329.47222222222,44.3222222222222,45.1472222222222,82.2222222222222,2.35555555555556,231.388888888889,46533.3333333333,96466.6666666667,8.29166666666667,0.283833333333333,522.361111111111,21.5277777777778,555.555555555556,6.11944444444444,27.640625,424.166666666667,423.472222222222,497.5,446.944444444444,222.916666666667,314.027777777778,58.903,0.408,5.828,26.24,0.15,0.002,0.053,0.014,0.1,2.207,94.1645,0.8,2.6,198,25175,-1.8
"V8Y","Victoria",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,2004920,27093.51351,722.538461538462,1470.65384615385,50.5846153846154,55.4846153846154,68.8461538461538,2.44615384615385,217.307692307692,53607.6923076923,119769.230769231,5.53333333333333,0.334230769230769,643.846153846154,13.4615384615385,680,7.31538461538462,20.5818181818182,518.076923076923,551.538461538462,623.076923076923,556.923076923077,244.615384615385,308.461538461538,58.971,0.459,5.913,24.06,0.139,0.001,0.015,0.004,0.066,2.197,93.9259166666667,0.8,2.6,198,25175,-1.8
"V8Z","Victoria",0.07,0.12,0.06,0.11,0.11,0.2,84.4,0.67,0.43,0.89,0.26,0.17,2,62,11.9,3.5,6.1,1.4,21.2,5.4,3.8,4.7,2.5,18.1,148,68,145,1.8,7690,2594,735,282,184,745,302,367,2004920,27093.51351,694.880952380952,2499.32857142857,41.9428571428571,42.2380952380952,72.7380952380952,2.52142857142857,263.928571428571,44523.8095238095,94571.4285714286,7.42380952380952,0.262571428571429,622.619047619048,31.1904761904762,638.095238095238,6.2547619047619,25.7825,529.404761904762,515.238095238095,590.238095238095,494.404761904762,248.095238095238,359.047619047619,59.058,0.382,5.907,26.564,0.143,0.001,0.045,0.01,0.056,2.036,94.5683333333333,0.8,2.5,198,25175,-1.8
"V9A","Victoria",0.11,0.15,0.06,0.14,0.13,0.28,82.4,1.01,1.09,1.14,1.15,0.3,5,53,12.1,5.1,6.8,1.6,20.7,6.1,6.4,4.9,3,16.7,183,174,239,1.7,26994,6564,2854,1133,743,1946,897,1067,993900,23664.28571,600.876923076923,4125.34769230769,44.1453125,44.434375,120.859375,2.0734375,258.75,44911.4754098361,78816.393442623,9.75901639344262,0.279540983606557,529.0625,40.859375,552.421875,5.1375,34.3771929824561,492.96875,517.734375,502.890625,457.03125,232.890625,314.453125,59.058,0.339,5.942,25.942,0.159,0.003,0.058,0.012,0.115,2.676,95.4005,0.8,2.5,198,92643,2
"V9B","Victoria",0.1,0.15,0.07,0.14,0.13,0.27,83.1,1.02,0.81,1.03,1.61,0.71,3,55,13.1,5.9,7.8,1.8,23,6.7,8.2,6.1,3.1,20.8,76,15,120,1.7,6326,1730,952,450,252,714,190,395,1150885,23976.77083,1342.3,2309.3125,41.125641025641,41.3846153846154,155.25641025641,2.43846153846154,476.923076923077,47076.9230769231,95474.358974359,6.95897435897436,0.266461538461538,1260.25641025641,78.7179487179487,1264.87179487179,5.94871794871795,28.8153846153846,1116.92307692308,1139.23076923077,1077.4358974359,973.205128205128,507.179487179487,750,60.6905,0.365,5.868,26.057,0.129,0.002,0.023,0.017,0.047,2.42,97.8085833333333,0.8,2.6,198,75054,1.6
